bandgap_target,SLICES,poscar,novelty
1.0,Cd Cd Cd Se Se Se 0 4 o-o 0 4 ooo 0 5 +oo 0 3 ooo 1 3 -oo 1 5 o+o 1 3 ooo 1 2 ++o 2 5 oo- 2 5 ooo 2 3 oo- 2 3 ooo,Cd3 Se3\n1.0\n  -4.3618571687497996    0.0000000000000000    0.0000000000000000\n  -0.1075987366828281   -7.1662759515172088    0.0000000000000000\n   0.4873630643862138    2.9281216234714953    6.6211783064040333\nCd Se\n3 3\ndirect\n   0.0233600477194156    0.0702496878628163    0.0228198171338302 Cd\n   0.4915211986210933    0.9330298379258910    0.6229099782377571 Cd\n   0.1687783736172490    0.4726008306501233    0.5628536506232726 Cd\n   0.5257328847921954    0.8560674815246035    0.9704611232710196 Se\n   0.1455342889927802    0.2499409469866538    0.7682387415888012 Se\n   0.6421522254415508    0.5589899904578789    0.4018321384669903 Se\n,1
2.0,Ba Ca Zn Zn Zn S S S S S 0 9 o-o 0 9 +oo 0 7 ooo 0 4 o-o 0 5 oo- 0 5 ooo 0 8 ooo 0 8 +oo 0 6 o-o 0 6 oo- 0 7 ooo 0 3 +oo 1 6 --- 1 6 --o 1 3 o-- 1 3 --o 1 5 -o- 1 5 o-o 1 7 ooo 1 4 ooo 1 4 -oo 1 4 ooo 1 2 ooo 1 9 -oo 2 7 -oo 2 5 o+o 2 8 o+o 2 9 ooo 3 6 oo+ 3 8 ooo 3 5 ++o 4 7 ooo 4 8 ++o,Ba1 Ca1 Zn3 S5\n1.0\n   4.2558491299722050    0.0000000000000000    0.0000000000000000\n  -0.7292503166510269    7.0083950895117564    0.0000000000000000\n  -1.7276424497624923   -3.2199508919718132    8.1441317352715945\nBa Ca Zn S\n1 1 3 5\ndirect\n   0.1466480083780534    0.8287210978297225    0.1214734935316483 Ba\n   0.8589321786769144    0.9661924295928368    0.6617868233806437 Ca\n   0.7597456306554778    0.4055622126021526    0.1119751630554184 Zn\n   0.3776910250123131    0.4747386625579858    0.7475101659386556 Zn\n   0.3431966498339848    0.3210026629369785    0.3775633038137771 Zn\n   0.2989506004226351    0.1136067213702185    0.5353776419462231 S\n   0.5871020211367052    0.6136771564489092    0.3278282131377636 S\n   0.0262760893672614    0.3728073910709774    0.9097303276399378 S\n   0.5499308103362286    0.8305681274408768    0.8486098179062453 S\n   0.7609622364339911    0.1787537319365936    0.2466420522866656 S\n,1
2.0,Tl Tl Tl In Br Br Br Br Br Br 0 8 ooo 0 8 o+o 0 4 oo+ 0 4 o+o 0 6 ooo 0 6 +oo 0 5 o+o 0 5 +oo 0 7 oo+ 0 7 +oo 0 9 ooo 0 9 oo+ 1 5 oo- 1 5 ooo 1 7 o-o 1 7 ooo 1 4 -oo 1 4 ooo 1 6 o-o 1 6 oo- 1 8 -oo 1 8 oo- 1 9 -oo 1 9 o-o 2 5 ooo 2 7 ooo 2 6 ooo 2 4 ooo 2 8 ooo 2 9 ooo 3 9 --o 3 8 -o- 3 4 -oo 3 6 o-- 3 7 o-o 3 5 oo-,Tl3 In1 Br6\n1.0\n   7.5238168814230360    0.0000000000000000    0.0000000000000000\n   3.2002304387652001    7.4888336679019174    0.0000000000000000\n   3.1831624437653572    1.4695799186482146    7.6044941478521508\nTl In Br\n3 1 6\ndirect\n   0.0316878089163970    0.0320340454680965    0.0454128846492730 Tl\n   0.5860115385626936    0.4306920202701195    0.4287474826836807 Tl\n   0.8578013845912726    0.7445638459397868    0.7499616463459209 Tl\n   0.3104840009670220    0.2324708756738569    0.2425977897960048 In\n   0.0478111125466610    0.4124300956208060    0.0388932787572722 Br\n   0.5270204873572244    0.0020172368351517    0.0124117280930235 Br\n   0.5277859581637799    0.0487046184676798    0.4726512142302282 Br\n   0.5226154763123516    0.4698563097855286    0.0629395718800290 Br\n   0.0494599478001150    0.0298348561934634    0.4169378441289566 Br\n   0.0917887789980840    0.4736686036739830    0.4759931828431511 Br\n,1
2.0,Mg Mg Mo Mo O O O O O O 0 9 oo+ 0 9 o+o 0 7 ooo 0 5 o+o 0 4 ooo 0 6 ooo 1 5 ooo 1 6 ooo 1 8 ooo 1 4 ooo 1 7 oo+ 1 9 +oo 2 6 -oo 2 5 oo- 2 4 o-o 2 8 oo- 2 9 ooo 3 7 o-o 3 5 oo- 3 4 ooo 3 8 ooo 3 9 ooo,Mg2 Mo2 O6\n1.0\n   3.2357229311055122    0.0000000000000000    0.0000000000000000\n   1.4094992481282911    5.3391155809225106    0.0000000000000000\n   1.5556797433179599    1.8068303310911806    8.1721630866037529\nMg Mo O\n2 2 6\ndirect\n   0.1602412617069573    0.9379630086523431    0.9655395369258384 Mg\n   0.7342789204521816    0.0207695627144586    0.6426713572450389 Mg\n   0.0150137549259788    0.4572823214671785    0.7914642958178917 Mo\n   0.1531682862134174    0.5357175941677265    0.3739372394325635 Mo\n   0.0490637392533595    0.7961829940310122    0.1935899940314225 O\n   0.1723161641326022    0.2467918910969016    0.5908641831873311 O\n   0.3943153225811528    0.7210314693076907    0.8032508043076489 O\n   0.7470728081735094    0.3642338421065806    0.3271636440502990 O\n   0.6058502909923607    0.1537654718569846    0.8711995551219006 O\n   0.0182672898513362    0.7384136737085734    0.5287741892708628 O\n,1
2.0,Ge Ge Ge Ge Os Os C C N N N N N N N N 0 11 ooo 0 12 oo+ 0 9 oo+ 0 14 oo+ 1 8 oo- 1 13 ooo 1 10 o-o 1 15 o-o 2 8 oo- 2 14 ooo 2 10 ooo 2 9 ooo 3 11 oo- 3 10 ooo 3 13 ooo 3 8 ooo 4 12 ooo 4 15 ooo 4 8 ooo 4 11 +oo 5 14 +oo 5 9 oo+ 5 13 o-o 5 12 o-+ 6 13 ooo 6 8 ooo 6 12 o+o 6 9 o+o 7 14 ooo 7 13 o+o 7 15 +oo 7 11 +oo,Ge4 Os2 C2 N8\n1.0\n   5.2959018713239470    0.0000000000000000    0.0000000000000000\n  -1.9339074122485715    6.4697809648120979    0.0000000000000000\n  -1.2049210203583136   -1.6268490489050769    7.9339790270845105\nGe Os C N\n4 2 2 8\ndirect\n   0.1804285866543991    0.2623675561001732    0.2060917985755831 Ge\n   0.3761823259676731    0.6193605690911221    0.9353364710920370 Ge\n   0.5797194354113685    0.7050569654601748    0.5695932102466886 Ge\n   0.1119313516063632    0.0326793131115154    0.4934998930995605 Ge\n   0.9655704632027347    0.3995741503146173    0.6180562896934484 Os\n   0.6855449371225270    0.3243299920719706    0.2663296612304550 Os\n   0.9986560748123594    0.2546307505931911    0.3901014638530255 C\n   0.9831803532419573    0.2347621054396651    0.3959266505341214 C\n   0.6395184427584795    0.4437717548763018    0.5115463143364527 N\n   0.8621958492316584    0.6121490144471352    0.2718339631436624 N\n   0.9783338735184485    0.7853790417745856    0.2701352426375099 N\n   0.3127082401476234    0.6307654946579472    0.7112249662367559 N\n   0.3583144441896078    0.9001872599538465    0.0409088173281916 N\n   0.7761173285472243    0.2178262043880269    0.7546836852805280 N\n   0.6309052347664577    0.1894607048220015    0.8435354510958820 N\n   0.4916129096243920    0.0293981530576418    0.1577663179048126 N\n,1
2.0,Rb Rb Ga Ga Cl Cl Cl Cl Cl Cl 0 8 ooo 0 8 o+o 0 4 oo+ 0 4 o+o 0 6 ooo 0 6 +oo 0 5 o+o 0 5 +oo 0 7 oo+ 0 7 +oo 0 9 ooo 0 9 oo+ 1 5 oo- 1 5 ooo 1 7 o-o 1 7 ooo 1 4 -oo 1 4 ooo 1 6 o-o 1 6 oo- 1 8 -oo 1 8 oo- 1 9 -oo 1 9 o-o 2 9 --o 2 8 -o- 2 4 -oo 2 6 o-- 2 7 o-o 2 5 oo- 3 5 ooo 3 7 ooo 3 6 ooo 3 4 ooo 3 8 ooo 3 9 ooo,Rb2 Ga2 Cl6\n1.0\n   5.1795750100263520    5.1796732013287201    0.0000000000000000\n   5.1795750100263520   -5.1796732013287201    0.0000000000000000\n   0.0000000000000000   -5.1795832834731081   -5.1804297851110830\nRb Ga Cl\n2 2 6\ndirect\n   0.9999955743072793    0.4995251214973302    0.9999693629718195 Rb\n   0.5004748785026698    0.0000044256927208    0.9999693629718195 Rb\n   0.2495081808630466    0.7504918191369534    0.4983364969563382 Ga\n   0.7493495209951576    0.2506504790048424    0.4983596324626702 Ga\n   0.9994169996276350    0.0005830003723650    0.5001652546675989 Cl\n   0.5002412318628965    0.4997587681371035    0.0003495760362584 Cl\n   0.5008963685770709    0.4991036314229291    0.4994692840817484 Cl\n   0.5010735927024013    0.0007619449905887    0.4998146806710884 Cl\n   0.9992380550094113    0.4989264072975987    0.4998146806710884 Cl\n   0.9987747846247990    0.0012252153752010    0.9966804460163657 Cl\n,1
2.0,Li Sb O O O 0 4 ooo 0 4 ooo 0 2 ooo 0 2 oo+ 0 3 -oo 0 3 ooo 0 2 oo+ 1 3 o-o 1 4 oo- 1 4 ooo 1 3 -o- 1 2 --- 1 2 oo- 1 2 o-- 1 2 o-o 1 3 ooo 2 4 ooo 2 4 o-o 2 3 ooo 2 3 --o 2 3 -oo,Li1 Sb1 O3\n1.0\n   3.0922383272333449    0.0000000000000000    0.0000000000000000\n  -0.0057713708169355    3.9543417406908405    0.0000000000000000\n  -0.2204868571444052   -1.9640365514978195    5.0796074974497625\nLi Sb O\n1 1 3\ndirect\n   0.8569611705704899    0.9077925384558800    0.0538281627228621 Li\n   0.3346242771431098    0.2308147555963158    0.6920935155701076 Sb\n   0.8157455024203233    0.1034486477578751    0.4340009179048872 O\n   0.8539675944243016    0.3611789661918644    0.9536268540496472 O\n   0.3394685872916866    0.7644991293616732    0.7576016950681155 O\n,1
3.0,Li Li Fe Fe F F F F F F F 0 8 oo+ 0 10 ooo 0 10 +o+ 0 5 oo+ 1 6 o-o 1 5 -oo 1 9 ooo 1 4 -oo 2 9 o-o 2 8 -oo 2 4 ooo 2 7 ooo 3 5 oo- 3 6 ooo 3 5 ooo,Li2 Fe2 F7\n1.0\n   3.8925152038263717    0.0000000000000000    0.0000000000000000\n   1.3935598074178495    5.3305719318422886    0.0000000000000000\n   0.9031464312096790    2.2139814397224806    6.7255191101346963\nLi Fe F\n2 2 7\ndirect\n   0.8638221923606659    0.0597046638996702    0.9243241256980792 Li\n   0.8733685873670175    0.0245114015358959    0.4989856954786652 Li\n   0.3173867563512792    0.4531348046229110    0.2215853126841290 Fe\n   0.4219814856038133    0.5709418857830412    0.7092344977380405 Fe\n   0.8327485371071077    0.4126313844672839    0.2279868610753883 F\n   0.2424944189488564    0.7734765517162452    0.9954662425056841 F\n   0.4536408333300171    0.2822463305106065    0.0066849993097833 F\n   0.2540230489065924    0.6417955388601151    0.4091768530157843 F\n   0.7507600966630329    0.2397557028227246    0.6689787798642872 F\n   0.8702506001743244    0.6965548202096352    0.7176155597170930 F\n   0.3841471413557265    0.1003843189766054    0.4170449296764367 F\n,1
3.0,La La S S Cl Cl Cl Cl 0 4 -oo 0 4 o+o 0 4 ooo 0 6 -oo 0 6 ooo 0 7 o+o 0 7 ooo 0 5 o+o 1 5 o-o 1 5 +oo 1 6 ooo 1 7 oo+ 1 2 ooo 1 3 +oo 1 3 o-o 1 2 oo+ 2 3 o-o 2 3 ooo 2 7 +oo 2 6 o-o 2 6 ooo 2 4 +oo 3 6 -oo 3 6 o+o 3 5 ooo 3 5 o+o 3 4 ooo 4 5 ooo 4 6 o-o 4 7 +oo 4 7 +-o 4 7 +oo 5 5 o-o 5 6 +oo 6 6 +-o 6 7 +oo,La2 S2 Cl4\n1.0\n   4.1883194327967255    0.0000000000000000    0.0000000000000000\n  -0.1974124660757956    7.2023993897459153    0.0000000000000000\n  -2.0575342905645755   -2.6252062390489339    7.3470596757386870\nLa S Cl\n2 2 4\ndirect\n   0.8843733246499915    0.0531431948825640    0.9463801990659981 La\n   0.0899448220110415    0.8853423453292100    0.3560755430709961 La\n   0.9682635076878996    0.7049187512010020    0.9800016957841379 S\n   0.5388994567824853    0.1019087063533442    0.2290656650977085 S\n   0.8897482155652200    0.7023102947755366    0.0104820442175365 Cl\n   0.6784700419662545    0.7545214715605681    0.5533949673445896 Cl\n   0.9863652919068285    0.4822595292743961    0.0989465614678134 Cl\n   0.2832533891866270    0.1684588880755983    0.7338916204721995 Cl\n,1
3.0,Hf Hf Ag Ag Ag Ag Ag Ag O O O O O O O O 0 11 -oo 0 14 ooo 0 8 -oo 0 15 -oo 0 9 ooo 0 10 ooo 1 12 o-- 1 9 o-o 1 12 o-o 1 11 oo- 1 15 ooo 1 13 oo- 2 12 --o 2 8 -o- 2 10 -oo 2 14 o-- 2 13 o-o 2 9 ooo 3 14 o-o 3 11 ooo 3 10 ooo 3 8 ooo 3 13 o-o 3 15 o-o 4 12 ooo 4 10 o+o 4 8 ooo 5 9 ooo 5 13 o+o 5 14 o+o 6 10 ooo 6 15 ooo 6 11 oo- 6 8 oo- 7 15 ooo 7 12 +oo 7 9 oo- 7 13 ooo,Hf2 Ag6 O8\n1.0\n   3.5790586816167718    0.0000000000000000    0.0000000000000000\n  -0.1016475171159160    5.4984194160233413    0.0000000000000000\n  -0.1036412580993992   -1.8931544255925123   13.0818117418325368\nHf Ag O\n2 6 8\ndirect\n   0.9619301924138772    0.1822204686636497    0.1259326775108552 Hf\n   0.9329530161600783    0.1890077585790629    0.4240349220095966 Hf\n   0.8857225554721482    0.6517260050176231    0.2942206897565700 Ag\n   0.0785048537760099    0.1988378485573810    0.7010582882627350 Ag\n   0.8882104146125415    0.6330081452470573    0.9686582645574990 Ag\n   0.6965980743032966    0.1182259831973317    0.8849411250657211 Ag\n   0.4697656430449032    0.6732979437957424    0.7739482751956837 Ag\n   0.4478598772030561    0.6530994136427406    0.5379296275170314 Ag\n   0.4569992465200893    0.0792301593187540    0.0622500052795638 O\n   0.5401024239370091    0.9160871442888527    0.6705747761792691 O\n   0.9488013224135730    0.5353912261642176    0.1343145991800610 O\n   0.4319799590853033    0.3450899261029879    0.4102632232673692 O\n   0.9464601003390932    0.3900021007836354    0.5699433274766298 O\n   0.9194532413824201    0.1152959045334485    0.2640127587024535 O\n   0.3143279558439301    0.4264876685021580    0.8691337957494639 O\n   0.9303090958080449    0.8434614544451063    0.4497331552595125 O\n,1
