bandgap_target,eform_target,SLICES,poscar,novelty
1.0,-2.0,In In Ag Ag F F F F F F 0 4 oo- 0 4 ooo 0 6 o-o 0 7 +oo 0 7 ooo 0 8 ooo 1 8 -oo 1 5 o+o 1 9 o+o 1 6 ooo 1 4 oo+ 1 5 ooo 2 6 ooo 2 7 ooo 2 5 ooo 2 9 ++o 3 9 oo- 3 8 ooo 3 4 ooo 3 7 ++o,In2 Ag2 F6\n1.0\n   5.3921547972692876    0.0000000000000000    0.0000000000000000\n  -0.2909838713826089    5.9678401775562042    0.0000000000000000\n  -2.0613584961309779   -2.8722454710807024    5.8874926503499285\nIn Ag F\n2 2 6\ndirect\n   0.9048858108182370    0.9600659322481623    0.7951487026041207 In\n   0.4028077473745741    0.2992261403404434    0.7217298106720491 In\n   0.6769997145188836    0.7206023851834461    0.2112567792924673 Ag\n   0.2004609219059161    0.6277231044069699    0.2883395718795633 Ag\n   0.7247784829281495    0.6073332226453440    0.5291772865449679 F\n   0.9576203836559629    0.8729202463121457    0.0631417133046620 F\n   0.2154159977166058    0.9113441084323880    0.6372964651648699 F\n   0.6916300555303739    0.0862747001448858    0.5569306605638216 F\n   0.2190040820365471    0.2881987914539293    0.9844623231757756 F\n   0.7105572572149749    0.2530636277300066    0.9779210186426772 F\n,1
1.0,-2.0,Lu Lu Lu Lu Yb Yb S S S S S S S S 0 11 ooo 0 13 ooo 0 8 ooo 0 6 ooo 0 7 ooo 0 9 ooo 0 12 ooo 1 7 --o 1 10 -oo 1 6 o-o 1 8 o-o 1 9 ooo 1 13 ooo 1 12 ooo 2 11 -o- 2 8 -oo 2 9 -oo 2 10 oo- 2 7 oo- 2 12 ooo 3 9 o-o 3 13 oo- 3 10 ooo 3 11 o-- 3 6 o-o 3 7 oo- 4 8 --o 4 6 -o- 4 11 -oo 4 10 o-- 4 13 o-o 4 9 oo- 5 8 ooo 5 12 ooo 5 11 ooo 5 10 ooo 5 9 ooo 5 7 ooo,Yb2 Lu4 S8\n1.0\n   5.2676573244554712    0.0000000000000000    0.0000000000000000\n  -2.0216767199760506    6.7240104228898314    0.0000000000000000\n  -1.6475401412182880   -2.3171540411497396    9.6008774914137529\nYb Lu S\n2 4 8\ndirect\n   0.3994744572075800    0.8215347171873257    0.1809016118403559 Yb\n   0.2582453430660028    0.7127500023886105    0.7793332176461675 Yb\n   0.9635043470227400    0.0034830487003761    0.9883308079351569 Lu\n   0.7982343753819539    0.4761510738527113    0.1530421575623750 Lu\n   0.0316030787247591    0.0649811151733407    0.4981723234292212 Lu\n   0.4517948152135290    0.5315943693731220    0.4719413162927050 Lu\n   0.5017076830907987    0.0713140199572505    0.0041695254922702 S\n   0.9372205586418357    0.8806699247940711    0.2371517792554538 S\n   0.8905467209252439    0.4026005964939878    0.4278926542725166 S\n   0.8885422431170147    0.6245263786797297    0.9368286508532350 S\n   0.3775158220737903    0.3681996965646937    0.6692962675613043 S\n   0.2651114626509425    0.4084349821189928    0.1594731684816632 S\n   0.8402646266376788    0.8956086243773667    0.7103217414513565 S\n   0.4966396863244593    0.9072747590544417    0.4764805723915669 S\n,1
1.0,-2.0,Sr Sr La La Cu Cu Cu Cu S S S S 0 9 o-o 0 9 +oo 0 8 ooo 0 8 +oo 0 4 o-o 0 4 +oo 0 4 o-o 0 5 +oo 0 5 o-o 0 10 +oo 0 6 ooo 1 8 oo- 1 8 -oo 1 7 o+o 1 7 -oo 1 5 o+o 1 5 oo+ 1 9 o++ 1 6 ooo 1 6 ooo 1 11 -oo 1 4 o+o 2 4 ooo 2 4 +++ 2 11 ooo 2 11 ++o 2 10 ++o 2 10 ooo 2 6 ooo 2 8 ooo 2 5 ++o 3 11 --o 3 10 -o- 3 7 --- 3 7 --o 3 7 ooo 3 9 o-o 3 8 --o 3 5 --o 3 5 ooo 4 8 ooo 4 9 o-o 4 10 ooo 4 6 ooo 5 11 o+o 5 11 ooo 5 7 ++o 5 6 ooo 6 10 ooo 6 9 ooo 7 11 ooo 7 8 +oo,Sr2 La2 Cu4 S4\n1.0\n   4.3912580829910679    0.0000000000000000    0.0000000000000000\n   0.7418171721067326    6.7140813573013496    0.0000000000000000\n   1.9212962912768647    2.3119298995330255   12.3216242452092324\nSr La Cu S\n2 2 4 4\ndirect\n   0.9675213269432785    0.0212454491075923    0.9505586784703526 Sr\n   0.4250793953225661    0.6236575185387709    0.2763448564874014 Sr\n   0.3943818197611005    0.1556593922876715    0.5310751928456775 La\n   0.6886779450438685    0.6329938062256515    0.7485705459837939 La\n   0.3155502691552444    0.5636751170387060    0.5799512608569388 Cu\n   0.2528469026019714    0.3368549544762131    0.7578405740681029 Cu\n   0.8106812603222863    0.2710960450264460    0.6666250264622402 Cu\n   0.8631711856405228    0.5160065106370768    0.4977507234883056 Cu\n   0.5304161261264617    0.0252672740830843    0.7783671450215659 S\n   0.1159726683565170    0.5360197517006562    0.8926358287267214 S\n   0.9514249921974456    0.2833891475151897    0.3888527871486458 S\n   0.9332814391102908    0.8394642294834865    0.1682378061699031 S\n,1
1.0,-2.0,Ba Ba Ba Ba In In S S S S S S S S 0 6 ooo 0 9 o-o 0 8 ooo 0 8 +oo 0 10 o-o 0 10 +oo 0 13 ooo 0 11 ooo 1 13 oo- 1 11 -oo 1 12 o+o 1 7 ooo 1 6 -oo 1 9 o+o 1 8 oo- 1 12 ooo 2 11 o-o 2 7 +oo 2 9 oo- 2 10 oo- 2 13 ooo 2 13 o-o 2 10 +oo 3 6 ooo 3 6 oo+ 3 12 -oo 3 8 o+o 3 9 o++ 3 8 ooo 3 11 oo+ 3 10 ooo 3 7 oo+ 4 12 -oo 4 12 o+o 4 7 o+o 4 8 ooo 4 13 ooo 4 9 oo+ 5 6 oo- 5 13 ooo 5 11 ooo 5 11 ooo 5 12 ooo 5 7 ooo,Ba4 In2 S8\n1.0\n   7.8003663871670739    0.0000000000000000    0.0000000000000000\n   3.1925080648517516    7.5911517831054578    0.0000000000000000\n   0.6372506535306733    0.2028022451103638    9.3276509810808648\nBa In S\n4 2 8\ndirect\n   0.9575128790558941    0.1135654719628248    0.1158174626587082 Ba\n   0.1869728765590498    0.5019359655206825    0.9114752346397191 Ba\n   0.3031195513177685    0.8137770111010161    0.5115935749771074 Ba\n   0.5883869877222394    0.7315727161941059    0.0519986070789960 Ba\n   0.8546429764111548    0.4311031451962317    0.5962730237242223 In\n   0.0713018155873275    0.5044803248351295    0.3276432204458897 In\n   0.8700706705662250    0.8859460780858064    0.8815603304826637 S\n   0.1474204314387328    0.5221456491839698    0.5832512956573906 S\n   0.7152554342593188    0.6531568128600318    0.3883509209771078 S\n   0.3321219050657230    0.1147564181724361    0.9998791953181422 S\n   0.0565559115665617    0.2038500463078019    0.4208132381336090 S\n   0.2194794584468850    0.6955496986054985    0.2161180386161587 S\n   0.8075675657443017    0.4101367777847279    0.8529839868655361 S\n   0.1299698795304343    0.8954796663758200    0.8222233709655448 S\n,1
1.0,-2.0,Cs Cs Tb Tb Mn Mn Se Se Se Se Se Se 0 5 -oo 0 5 o+o 0 11 -oo 0 11 o+o 0 6 -oo 0 6 o+o 0 4 ooo 0 4 o+o 0 9 oo- 0 8 ooo 1 7 o-o 1 7 +oo 1 10 o-o 1 10 +oo 1 6 o-o 1 6 +oo 1 11 o-o 1 11 +oo 1 5 o-o 1 4 +oo 2 4 --o 2 4 ooo 2 7 -oo 2 10 o+o 2 8 --o 2 9 ooo 2 5 --- 3 6 oo- 3 11 -oo 3 9 o-- 3 5 --o 3 10 ooo 4 10 -oo 4 8 o+o 4 8 ooo 5 9 ooo 5 11 o-o 5 10 +oo,Cs2 Tb2 Mn2 Se6\n1.0\n  -5.0635729928534499    0.0000000000000000    0.0000000000000000\n   1.8490732257889262    8.4904906552021338    0.0000000000000000\n  -0.0245588939744016   -3.8324898373113205  -10.0872824250124964\nCs Tb Mn Se\n2 2 2 6\ndirect\n   0.2041479651438116    0.3476280348227317    0.1021207974840479 Cs\n   0.4560800613722087    0.9080628117328864    0.1494758941700451 Cs\n   0.8402371633042192    0.0556214041194427    0.6876396745986852 Tb\n   0.4075540664685151    0.3151210216967274    0.5510211886159841 Tb\n   0.8207973474586322    0.6652003024244648    0.4153884082966950 Mn\n   0.0264902600299288    0.7071019052643603    0.7070186288785900 Mn\n   0.9094663427312764    0.9325856229888134    0.8994442634358624 Se\n   0.5218946450430447    0.6915334234027926    0.6003718175436326 Se\n   0.0284990660082052    0.9655305249292843    0.4225502251703690 Se\n   0.3912296720580271    0.1968928660862942    0.7730547570608790 Se\n   0.9424996979733699    0.4066688978877898    0.6766646732225505 Se\n   0.6989165835310733    0.3474356948904137    0.3287291643030286 Se\n,1
1.0,-2.0,La La La La Mg Mg S S S S S S S S 0 12 ooo 0 13 oo+ 0 11 +oo 0 11 o+o 0 7 o++ 0 8 +oo 0 9 o+o 0 10 +oo 1 6 o-o 1 8 -oo 1 10 -oo 1 10 o-o 1 7 -oo 1 12 oo- 1 13 oo+ 1 9 o-o 2 9 ooo 2 13 ooo 2 6 oo+ 2 8 o+o 2 10 ooo 2 12 oo+ 2 11 o+o 2 7 ooo 3 12 --o 3 12 -o- 3 8 -oo 3 7 o-- 3 11 o-o 3 6 ooo 4 8 oo- 4 13 ooo 4 9 ooo 4 6 oo- 5 13 ooo 5 10 ooo 5 7 ooo 5 9 ooo,La4 Mg2 S8\n1.0\n   4.1825010701441352    0.0000000000000000    0.0000000000000000\n  -0.3880339582582500    7.0541617304275626    0.0000000000000000\n  -1.5880581202841850   -1.6079479060802409   13.3430455974034086\nLa Mg S\n4 2 8\ndirect\n   0.9873501819188627    0.0227681374019789    0.0656773266891043 La\n   0.5281166241595567    0.5437489176870427    0.9088931899849946 La\n   0.2909434409741232    0.0247312345734072    0.7282189165831446 La\n   0.7059307583178952    0.4207248455553861    0.5242712848929316 La\n   0.0570892991495420    0.9134747511600741    0.4563985896742839 Mg\n   0.4121880406924205    0.6652424605824216    0.2197900089151892 Mg\n   0.9135265794842229    0.2685465903279956    0.8367520477066482 S\n   0.7214614056325195    0.0357976600180361    0.5880949638457109 S\n   0.4276499107887290    0.6764894206592298    0.3986826442665341 S\n   0.0462848584343907    0.5695894559290264    0.0703523738929865 S\n   0.5217560519483619    0.9922821392488294    0.1924345988832262 S\n   0.4602470494306231    0.6222366167023119    0.7047062354608448 S\n   0.4617194910152090    0.9306955528942573    0.9259593615400754 S\n   0.1316526363217458    0.2298407366065152    0.4189610284605698 S\n,1
1.0,-2.0,Cs Cs Co Co Co Co O O O O O O F F F F F F 0 9 ooo 0 15 +oo 0 8 ooo 0 10 oo- 0 16 o+o 0 11 ++o 0 17 o+o 0 17 ++o 0 14 ooo 0 12 ooo 0 7 o+o 0 6 o+o 1 14 o-o 1 8 oo+ 1 13 ooo 1 9 -oo 1 15 ooo 1 15 oo+ 1 11 ooo 1 13 o-o 1 12 ooo 1 7 oo+ 1 16 +oo 2 11 o-o 2 7 -oo 2 13 ooo 2 14 --o 2 9 -oo 2 10 o-o 2 13 ooo 3 13 ooo 3 10 o+o 3 6 +oo 3 6 ++o 3 14 ooo 3 11 ooo 4 16 o+o 4 16 +oo 4 8 +oo 4 8 o+o 5 17 ooo 5 10 ooo 5 8 ooo 5 17 +oo,Cs2 Co4 O6 F6\n1.0\n   4.9254823003523285    0.0000000000000000    0.0000000000000000\n  -1.2741099892584760    7.6515469623323238    0.0000000000000000\n  -0.3640526198951955   -0.3738083957149038   15.1261142867959286\nCs Co O F\n2 4 6 6\ndirect\n   0.2171599908803638    0.2598849178755784    0.0955029223895653 Cs\n   0.5710669162001037    0.2898023384544571    0.5491759507886764 Cs\n   0.1221190833714980    0.1522975649141215    0.7936516398454161 Co\n   0.8036525127362626    0.8760428347378986    0.7617619823169486 Co\n   0.5411279578387731    0.9891035358674605    0.9134924728079417 Co\n   0.4639452091191519    0.5681306118550936    0.8330782400987052 Co\n   0.2928064185096698    0.5394374909377578    0.9265498026837587 O\n   0.7832316182909049    0.4815343442141649    0.1446274080841123 O\n   0.9892509049993600    0.8603552506075189    0.0526401689559854 O\n   0.7600144736909803    0.0980125921713485    0.8205861903280200 O\n   0.9849357651817908    0.0106185354368823    0.6867037979710351 O\n   0.6650379257396064    0.7863775970188018    0.8707340366876930 O\n   0.0579657705262450    0.2504119408999543    0.4718162652477947 F\n   0.3087073514551844    0.3725605751739753    0.7548553941754905 F\n   0.6741502775778063    0.6398987495573751    0.7236189141581338 F\n   0.6538058918813074    0.0647237274045589    0.0274256150061968 F\n   0.2258120747302939    0.9029311879770903    0.8214005667609809 F\n   0.3196872796395608    0.1905839299151795    0.9060516891043802 F\n,1
1.0,-2.0,Li Li Li Li Mn Mn Mn Mn Fe Fe O O O O O O O O O O 0 11 -oo 0 13 -o+ 0 16 -oo 0 12 -+o 0 14 ooo 0 17 ooo 1 12 o-o 1 18 o-o 1 10 o-+ 1 13 oo+ 1 10 oo+ 1 11 +-o 2 14 ooo 2 11 o+o 2 19 +o- 2 18 o+o 2 19 oo- 2 12 o+- 3 17 ooo 3 18 ooo 3 15 oo- 3 10 ooo 3 17 ooo 3 15 ooo 4 16 ooo 4 11 ooo 4 16 ooo 4 13 ooo 4 14 ooo 4 18 oo- 5 19 ooo 5 17 ooo 5 15 ooo 5 11 o+- 5 10 o+o 5 14 o+o 6 12 o-o 6 13 ooo 6 16 -oo 6 12 ooo 6 12 -o+ 6 11 oo+ 7 18 oo+ 7 19 o+o 7 13 -+o 7 18 oo+ 7 17 +oo 7 14 o+o 8 15 o+o 8 10 +oo 8 10 +oo 8 16 +o- 8 19 +oo 8 17 o-o 9 13 ooo 9 13 ooo 9 10 ooo 9 12 oo- 9 11 ooo 9 14 o+-,Li4 Mn4 Fe2 O10\n1.0\n   5.5474842767077055    0.0000000000000000    0.0000000000000000\n   2.5712499635102946    6.7460129514855272    0.0000000000000000\n   1.2816215467218761    2.6350826441829307    7.1656887218486567\nLi Mn Fe O\n4 4 2 10\ndirect\n   0.9031817301176511    0.9992795560079718    0.9863597055343956 Li\n   0.3273409099679203    0.0236471557686904    0.9033468509655007 Li\n   0.9835315546544022    0.3125816357226109    0.1081433277939624 Li\n   0.5986592018284931    0.2488588640138336    0.6728118047929370 Li\n   0.4209359426089763    0.4463835828866035    0.0345346589955901 Mn\n   0.4693272436437334    0.6987301056163719    0.5929834793672376 Mn\n   0.1583360551279989    0.6491637105089023    0.3112414067786450 Mn\n   0.0081137418795769    0.4761558519926670    0.7167125122309591 Mn\n   0.7865957310959453    0.9942123255467449    0.4142224370123048 Fe\n   0.1858109407297852    0.1669134556854115    0.5063057748917537 Fe\n   0.1555307342907957    0.3854889484392332    0.2707245412191407 O\n   0.6727742945072336    0.5424905071231964    0.8351228103413029 O\n   0.7408876643418149    0.1584121763003087    0.1643986305567300 O\n   0.1466407927542487    0.9453285862064332    0.4420591848063254 O\n   0.2492025794418021    0.3180908786305765    0.9088463797815790 O\n   0.5253203689848674    0.0387434376880521    0.6050429293732514 O\n   0.9656316672217660    0.1903744603203985    0.7157307171732918 O\n   0.8293403589406432    0.6929642622117396    0.4712035170724207 O\n   0.3274968845593355    0.4941682556322908    0.5456019767534803 O\n   0.2388550937785711    0.7765356081759455    0.0592010626383374 O\n,1
1.0,-2.0,Ca Ca Ca Bi Br Br Br Br Br 0 7 oo- 0 7 ooo 0 5 o-o 0 5 ooo 0 3 -oo 0 3 ooo 0 6 o-o 0 6 oo- 0 4 -oo 0 4 oo- 0 8 -oo 0 8 o-o 1 3 ooo 1 3 o+o 1 4 oo+ 1 4 o+o 1 6 ooo 1 6 +oo 1 5 o+o 1 5 +oo 1 8 oo+ 1 7 +oo 1 7 ooo 1 7 oo+ 2 3 --o 2 3 -o- 2 8 -oo 2 5 o-- 2 4 o-o 2 6 oo-,Ca3 Bi1 Br5\n1.0\n  11.7853241709935279    0.0000000000000000    0.0000000000000000\n   5.6896938614466093   11.3792431175898177    0.0000000000000000\n   3.9692036553064183    0.2717820653524779   12.4337735898945070\nCa Bi Br\n3 1 5\ndirect\n   0.0166359406553165    0.0087183111006208    0.9891463970073093 Ca\n   0.1602318824687514    0.4166542659610818    0.9684660654103212 Ca\n   0.9231299566326234    0.2837921606261640    0.5675571645164897 Ca\n   0.6829128710585757    0.8605220037838480    0.6945719871230037 Bi\n   0.8933127019015633    0.6960498119039122    0.5866118603381191 Br\n   0.1792348389993110    0.7040552946282520    0.3984796813862205 Br\n   0.6331730605308303    0.6153011864247464    0.3358361357344969 Br\n   0.4251623430161761    0.6047297516885642    0.3466361694106866 Br\n   0.5248681477186019    0.8042131809801996    0.6400103034341431 Br\n,1
1.0,-2.0,Y Y Cr Cr Cr Cr S S S S S S S S 0 8 ooo 0 13 oo+ 0 12 +oo 0 10 o+o 0 9 oo+ 0 11 +oo 0 7 o+o 0 6 +oo 1 13 --o 1 10 -oo 1 8 -oo 1 11 o-o 1 6 o-o 1 7 oo- 1 9 oo- 1 12 ooo 2 9 oo+ 2 7 o+o 2 6 +oo 2 13 oo+ 2 11 o+o 2 8 o+o 2 12 ooo 3 6 oo+ 3 9 ooo 3 10 ooo 3 13 ooo 3 10 ooo 3 8 ooo 3 12 ooo 4 11 ooo 4 7 ooo 4 12 ooo 4 6 ooo 4 10 ooo 4 13 ooo 5 11 --o 5 7 -o- 5 8 -oo 5 9 o-- 5 7 o-o 5 6 oo-,Y2 Cr4 S8\n1.0\n   7.2887734264785777    0.0000000000000000    0.0000000000000000\n  -2.6310488204822855    6.9965940477851802    0.0000000000000000\n  -1.0069871087213396   -2.7471174607611921    6.9961224178920567\nY Cr S\n2 4 8\ndirect\n   0.9729398809069918    0.9268999845355309    0.0483528632152618 Y\n   0.9683046810224811    0.4475099457155031    0.7129675101269956 Y\n   0.5175927427684359    0.3653891722049567    0.5758362480220746 Cr\n   0.3196786663823257    0.2745489885096401    0.7421107026576154 Cr\n   0.4663286771173386    0.0519564925499601    0.2430542075693207 Cr\n   0.1802213430579117    0.2610151440208059    0.4172654504618991 Cr\n   0.6346105199305407    0.2810876616146556    0.8437601631008955 S\n   0.2565007572852240    0.9962159626081226    0.4509983762213683 S\n   0.7494726431613523    0.6801110276092283    0.6825078432686116 S\n   0.2761225096260205    0.8227802427588602    0.9559480490494285 S\n   0.0540868695126120    0.1845545859715884    0.8554620034603722 S\n   0.4217329191271792    0.3459366959931388    0.2588458332466185 S\n   0.8616722761177266    0.5399589769292112    0.0639820943850622 S\n   0.8248580006832182    0.1393501207041279    0.3279717633719877 S\n,1
