bandgap,eform,SLICES
2.0,-1.0,K K Hg Au Br Br Br Br 0 4 ooo 0 4 o++ 0 7 -o+ 0 7 ooo 0 5 -+o 0 5 -oo 0 6 ooo 0 6 -+o 1 5 -oo 1 5 -oo 1 4 ooo 1 4 oo+ 1 6 o+o 1 6 ooo 1 7 ooo 1 7 -oo 2 4 ooo 2 7 o-- 2 6 o-o 2 5 oo- 3 4 ooo 3 5 oo- 3 6 ooo 3 7 o--
2.0,-1.0,K K Na Er In I I I I I I I 0 6 ooo 0 6 +oo 0 6 ++o 0 11 o+o 0 11 ooo 0 7 ooo 0 7 +oo 0 10 oo+ 1 6 ooo 1 6 ooo 1 11 -oo 1 10 ooo 1 10 -oo 1 8 -oo 1 8 --o 1 5 o-o 2 8 --o 2 8 oo- 2 9 o-- 2 9 o-o 2 10 oo- 2 7 ooo 2 7 -oo 2 5 --o 3 5 oo+ 3 5 ooo 3 10 +oo 3 10 ooo 4 11 ooo 4 11 ooo 4 9 ooo 4 9 -oo 4 9 ooo 4 8 o-o
2.0,-1.0,S K K Se S S Zn Zn K Zn S 1 4 +oo 1 0 ooo 1 3 oo- 1 5 o+- 1 10 ooo 2 3 ooo 2 4 o+o 2 0 -oo 2 5 ooo 2 10 ooo 2 5 ooo 6 3 oo+ 6 0 ooo 6 4 +oo 6 4 ooo 6 10 o-o 6 5 ooo 7 0 ooo 7 3 ooo 7 10 -oo 7 4 ooo 7 5 o+o 8 0 ooo 8 5 ooo 8 4 ooo 8 4 ooo 8 3 o-o 8 10 ooo 9 0 --o 9 10 oo-
2.0,-1.0,K K Ca Zn Te Te Te 0 5 o++ 0 5 +++ 0 6 ooo 0 6 +oo 0 4 oo+ 0 4 -+o 1 4 ooo 1 4 +oo 1 6 o-o 1 6 +-o 1 5 ooo 1 5 -oo 2 4 +o+ 2 6 ooo 2 5 ooo 2 5 +oo 3 6 o+o 3 4 ooo 3 4 -oo 3 5 ooo
2.0,-1.0,K K K K Bi Bi Ga Ga Se Se Se Se Se Se Se Se 0 8 o-- 0 11 ooo 0 9 ooo 0 10 o-- 0 12 o-- 0 15 ooo 1 9 ooo 1 10 o-o 1 8 o-- 1 11 oo+ 1 13 o-o 1 14 ooo 2 12 --- 2 15 oo+ 2 14 ooo 2 13 --o 2 9 -oo 2 10 o-o 3 13 oo+ 3 14 ooo 3 8 ooo 3 11 oo+ 3 12 ooo 3 15 oo+ 4 11 -oo 4 8 oo- 4 10 ooo 4 9 -o- 4 15 ooo 4 12 -o- 5 10 +oo 5 9 ooo 5 11 ooo 5 8 +oo 5 14 +oo 5 13 ooo 6 10 ooo 6 9 ooo 6 12 ooo 6 15 ooo 6 14 ooo 6 13 ooo 7 11 oo+ 7 8 +-o 7 13 o-o 7 14 +o+ 7 15 +o+ 7 12 o-o
2.0,-1.0,K K K K Sc Sc In In I I I I I I I I I I I I 0 19 -+o 0 15 o+o 0 11 o+o 0 16 -oo 0 8 ooo 0 12 ooo 0 9 -oo 0 13 -o- 1 18 ooo 1 14 ooo 1 10 ooo 1 17 ooo 1 13 ooo 1 9 ooo 1 8 oo+ 1 12 ooo 2 17 +-o 2 13 o-o 2 9 o-o 2 18 +oo 2 10 ooo 2 14 ooo 2 11 +oo 2 15 +o+ 3 16 ooo 3 12 ooo 3 8 ooo 3 19 ooo 3 15 ooo 3 11 ooo 3 10 oo- 3 14 ooo 4 8 o-o 4 10 oo- 4 13 o-- 4 15 ooo 4 19 ooo 4 17 o-- 5 14 -oo 5 12 ooo 5 9 -oo 5 11 ooo 5 18 ooo 5 16 -oo 6 19 ooo 6 17 o-o 6 12 o-o 6 14 ooo 6 11 ooo 6 9 o-o 7 16 -oo 7 18 oo- 7 8 ooo 7 10 -o- 7 13 -o- 7 15 ooo
2.0,-1.0,Te Te K Cd 2 0 oo+ 2 0 o-o 2 0 -oo 2 1 +o+ 2 1 oo+ 2 1 o++ 2 3 ooo 2 3 o+o 0 3 +oo 0 3 o+o 1 3 ooo 1 3 oo+
2.0,-1.0,K I I Cu K I I Li Cu I I I I I Tl I K I I I 0 15 o+o 0 9 o+o 0 1 -oo 0 19 -+o 0 13 -o- 0 6 ooo 0 5 -oo 0 2 ooo 4 8 ooo 4 10 ooo 4 13 ooo 4 14 ooo 4 1 oo+ 4 6 ooo 4 5 ooo 4 9 ooo 12 15 +-o 12 9 o-o 12 1 o-o 12 17 +oo 12 10 ooo 12 8 ooo 12 13 +o+ 12 10 +oo 19 14 ooo 19 13 ooo 19 15 ooo 19 18 ooo 19 6 oo- 19 2 ooo 19 10 ooo 19 8 ooo 3 9 o-- 3 13 ooo 3 14 ooo 3 2 o-o 3 8 o-o 3 10 oo- 11 5 ooo 11 1 -oo 11 13 -oo 11 6 ooo 11 17 ooo 11 15 -oo 5 9 ooo 5 15 o-- 5 18 ooo 5 16 o-- 7 6 ooo 7 18 ooo 7 1 o-o 7 13 -oo 7 8 ooo 7 2 o-o
2.0,-1.0,Br In Br In I Rb I I I I Br I 3 7 oo+ 3 10 ooo 3 4 ooo 3 6 ooo 3 9 ooo 3 2 ooo 5 8 oo- 5 11 ooo 5 4 ooo 5 6 ooo 5 2 ooo 5 0 ooo 1 6 o+o 1 4 -oo 1 11 o++ 1 7 -++
2.0,-1.0,Rb Rb Se Se Br Br 0 5 oo- 0 5 +o- 0 4 o-- 0 2 o+- 0 3 oo- 0 3 -o- 1 3 ooo 1 3 -oo 1 5 o+o 1 4 o+o 1 4 -oo 1 4 ooo 1 2 -oo 1 2 ooo 2 4 +oo 2 4 ooo
2.0,-1.0,Se In In Cl In Cl Cl In In Br In Cl 1 10 +oo 1 6 +o- 1 7 oo- 2 9 ooo 2 6 +oo 2 11 ++o 4 3 o+o 4 9 o++ 4 11 oo+ 4 7 o+o 5 9 -oo 5 6 o-o 5 10 -oo 5 3 o-o 5 0 ooo 5 7 ooo 8 10 oo- 8 6 o-o 8 0 -oo 8 7 ooo 8 3 ooo 8 11 ooo 8 7 oo-
2.0,-1.0,In Ag Br Br K Br 4 3 ooo 4 3 +oo 4 5 o+o 4 5 ++o 4 5 ooo 4 5 +oo 4 2 oo+ 0 2 +oo 0 2 ooo 0 3 ooo 0 3 oo- 0 5 --o 1 3 o-o 1 3 ooo 1 2 --- 1 2 o-- 1 2 --- 1 2 ooo
2.0,-1.0,Rb Rb Hg Hg Br Br 0 4 ++o 0 4 ooo 0 3 o+o 0 3 ++o 0 3 ooo 0 2 +oo 0 2 ooo 0 5 +o+ 1 3 oo+ 1 5 ooo 1 5 --o 1 5 o-o 1 4 oo+ 1 4 -oo 1 2 --o 1 2 o-o
2.0,-1.0,Br Sn Br Br Br K Pb Br Br Tl K Br Br Br Cu K K Br 5 3 +oo 5 3 ooo 5 4 ooo 5 4 +oo 5 0 ooo 5 0 +oo 5 8 ooo 10 8 --o 10 4 o-o 10 7 ooo 10 7 -oo 10 7 ooo 10 2 -oo 10 2 ooo 12 3 --o 12 3 ooo 12 11 -oo 12 11 ooo 12 8 -oo 12 16 ooo 12 15 -oo 12 15 ooo 12 9 -oo 12 17 ooo 13 3 +o- 13 0 oo- 13 15 ++o 13 16 ++o 13 11 ooo 13 11 +oo 13 8 ooo 13 8 +oo 1 8 ooo 1 7 +oo 1 4 ooo 1 11 ooo 1 11 +oo 1 0 oo- 6 0 oo- 6 15 ooo 6 16 ooo 6 16 -oo 6 2 -o- 6 2 oo- 14 17 +o+ 14 17 oo+ 14 15 o+o 14 7 ooo
2.0,-1.0,I K I Rb I I Pb I Rb I I I 1 5 ooo 1 7 ooo 1 2 o+o 1 0 -oo 1 11 oo+ 1 11 ooo 1 4 ooo 8 4 ooo 8 11 oo- 8 9 ooo 8 9 o-o 8 2 +oo 3 11 ooo 3 0 o-o 3 7 oo- 3 4 ooo 6 0 o-o 6 5 -o- 6 11 ooo 6 9 --o 10 7 oo- 10 0 o-o 10 5 -oo 10 9 o--
2.0,-1.0,S S Pb S S Be S P Be Be 5 3 ooo 5 6 ooo 5 1 ooo 5 4 ooo 5 0 ooo 8 4 -oo 8 1 o-o 8 0 ooo 8 6 +oo 8 3 ooo 9 3 ooo 9 1 o+o 9 0 ooo 9 0 +oo 9 0 o+o 9 4 +o- 2 1 -o+ 2 6 oo- 2 3 ooo 2 4 -oo 2 4 o-o 7 6 oo+ 7 0 ooo 7 1 ooo
2.0,-1.0,K K Zn Te Te S S 0 5 o++ 0 5 +++ 0 6 +oo 0 6 ooo 0 4 -+o 1 6 +oo 1 6 ooo 1 4 -oo 1 4 ooo 1 4 -oo 2 4 +o+ 2 4 ooo 2 5 +oo 2 5 ooo 3 6 ooo 3 6 o+o 3 5 +oo 3 5 ooo
2.0,-1.0,Hg K Br Br Br In K 1 3 ooo 1 3 -oo 1 4 ooo 1 4 oo- 1 4 -o- 1 2 ooo 6 4 ooo 6 4 +oo 6 3 ooo 6 3 oo+ 6 2 +o+ 6 2 ooo 5 3 ooo 5 4 o+o 5 2 ++o 5 2 ooo 0 3 --- 0 4 ooo 0 2 o-o 0 2 ooo
2.0,-1.0,Ba Te K Hg Hg Te Te K Te K K Te 4 8 oo- 4 1 +o- 4 1 ooo 7 5 o+o 7 6 ++o 7 6 ooo 7 2 oo- 10 8 ooo 10 8 -oo 10 1 ooo 10 5 --o 10 6 ooo 10 1 o-o 0 5 oo+ 0 5 +o+ 0 8 ooo 0 2 ooo 0 2 -oo 0 6 ooo 9 6 +oo 9 1 ooo 9 8 ooo 9 5 +oo 9 3 ooo 3 1 ooo 3 8 -o- 3 6 oo- 11 1 ooo 11 6 ooo 11 2 ooo 11 2 ooo 11 1 -oo
2.0,-1.0,K K Mg Te 0 3 +++ 0 2 +o+ 0 2 o+o 0 2 +oo 1 3 ooo 1 3 o-o 1 3 -oo 1 2 oo-
2.0,-1.0,K K Cu Ge Br Br Br Br Br Br 0 4 ooo 0 5 ooo 0 6 ooo 0 9 ooo 0 8 ooo 0 7 ooo 1 7 o-o 1 9 ooo 1 8 -oo 1 5 o-+ 1 6 --+ 1 4 -o+ 2 9 +oo 2 7 ooo 2 8 o+o 3 6 -oo 3 5 o-o 3 4 ooo 3 8 oo- 3 7 oo- 3 5 o-o
2.0,-1.0,Sb K Ca Ca Te Te Te K 1 4 oo+ 1 0 o++ 1 5 -+o 1 5 -oo 1 6 -o+ 1 6 ooo 7 4 ooo 7 4 -+o 7 5 -+o 7 5 -oo 7 6 ooo 7 0 ooo 2 4 oo+ 2 5 o+o 2 6 ooo 2 0 ooo 3 6 o-o 3 5 ooo 3 0 ooo 3 4 +o+
2.0,-1.0,Br Br I Ag Br I Br Br K Tl K K 8 6 ooo 8 6 oo- 8 1 ooo 8 7 oo- 8 0 +oo 8 4 ++o 8 4 ooo 8 2 +oo 11 1 ooo 11 6 oo+ 11 6 ooo 11 2 ooo 11 4 -oo 11 7 ooo 11 2 -oo 11 1 ooo 3 7 ooo 3 7 o-o 3 0 ooo 3 6 +oo 3 4 ooo 3 1 o-o 10 0 ooo 10 6 ooo 10 5 o+o 10 2 ooo 10 1 -oo 10 4 ooo 9 2 --- 9 0 --o 9 5 oo- 9 1 --o
2.0,-1.0,Br K K Br K Sn I Br Br Br 1 0 o+o 1 0 +oo 1 6 ooo 1 3 +oo 1 8 ooo 1 8 o+o 1 7 ooo 1 7 o+- 1 9 +o- 2 9 ooo 2 7 -oo 2 8 ooo 2 8 -oo 2 6 o-o 2 3 o-+ 2 0 -o+ 2 0 ooo 4 7 oo- 4 8 oo- 4 6 ooo 4 3 ooo 4 3 o-o 5 6 ooo 5 8 o+o 5 9 +oo 5 9 +oo 5 0 o+o 5 7 ooo
