bandgap,SLICES
2.0,Rb Rb Rb Rb In In In In O O O O O O O O 0 12 -oo 0 12 ooo 0 14 o-o 0 14 --o 0 8 o-o 0 8 ooo 1 13 ooo 1 13 ooo 1 11 -oo 1 11 ooo 1 15 ooo 1 10 ooo 2 10 ooo 2 8 +oo 2 9 ooo 2 9 ooo 2 15 +oo 2 14 ooo 3 11 o+o 3 10 ++o 3 10 o+o 3 15 oo- 3 9 ooo 3 9 +oo 4 15 ooo 4 12 oo+ 4 12 +o+ 4 10 ooo 5 13 ooo 5 8 ooo 5 14 ooo 5 11 -o- 6 14 ooo 6 12 oo- 6 8 o+o 6 11 ooo 7 13 o-o 7 13 ooo 7 15 ooo 7 9 oo+
2.0,Li Li Cr Sb O O O O O O 0 5 o-o 0 5 +oo 0 8 ooo 0 7 o-o 0 9 ooo 0 6 +oo 1 4 ooo 1 9 -oo 1 7 o+o 1 6 ooo 1 8 ooo 1 5 o+o 2 7 ooo 2 9 -oo 2 4 ooo 2 6 ooo 2 8 ooo 2 5 ooo 3 9 oo- 3 6 ooo 3 5 ooo 3 4 oo- 3 7 +o- 3 8 o-o
2.0,P Ni O O O Sr O O O P 5 6 ooo 5 3 --o 5 2 o-o 5 2 ooo 5 4 -oo 5 4 oo- 5 7 --- 5 7 o-- 5 8 --o 5 9 oo- 5 9 ooo 5 3 -o- 1 2 ooo 1 7 oo+ 1 4 o+o 1 4 ++o 1 6 ooo 1 3 ooo 1 6 +oo 1 9 ooo 1 9 ++o 1 9 o+o 1 8 ooo 1 8 +oo 0 8 ooo 0 7 -oo 0 3 ooo 0 4 ooo 0 6 ooo 0 2 ooo
2.0,P P P P Os Os Os Os O O O O O O O O O O O O 0 17 ooo 0 8 ooo 0 12 ooo 0 18 ooo 1 13 ooo 1 16 +oo 1 9 ooo 1 19 ooo 2 11 ooo 2 14 ooo 2 12 ooo 2 17 -oo 3 10 oo- 3 8 ooo 3 19 ooo 3 16 ooo 4 15 ooo 4 14 ooo 4 9 ooo 5 15 o-o 5 13 o-o 5 12 oo+ 6 18 o-o 6 16 ooo 6 14 -oo 7 11 +oo 7 17 o+o 7 19 +oo
2.0,Ag Ag Bi Bi O O O O O O 0 6 oo+ 0 9 oo+ 0 8 o-o 0 5 -oo 0 5 ooo 1 7 oo+ 1 8 +oo 1 9 ooo 1 4 o+o 1 4 oo- 2 6 ooo 2 7 +oo 2 8 o+o 2 4 +oo 2 9 o+o 2 5 +oo 3 5 o-+ 3 7 ooo 3 4 ooo 3 6 o-o 3 9 o-o 3 8 -oo
3.0,O O Al Al O Al Cr O Cr O O O 2 4 ooo 2 10 +oo 2 7 ooo 2 0 ooo 2 1 ooo 2 1 +oo 5 10 ooo 5 4 ooo 5 7 -oo 5 1 ooo 6 0 oo- 6 1 ooo 6 7 -oo 6 10 ooo 6 4 -oo 8 4 oo- 8 9 o-- 8 9 ooo 8 1 oo- 8 11 ooo 3 4 o++ 3 7 ooo 3 0 ooo 3 10 oo+ 3 11 +oo 3 9 o+o
3.0,Cs Cs In Ga I I I I I I 0 7 +oo 0 7 oo+ 0 6 +oo 0 6 ooo 0 9 oo+ 0 9 ooo 0 5 +oo 0 5 o+o 0 4 oo+ 0 4 o+o 0 8 o+o 0 8 ooo 1 8 oo- 1 8 -oo 1 4 ooo 1 4 -oo 1 6 oo- 1 6 o-o 1 9 o-o 1 9 -oo 1 5 oo- 1 5 ooo 1 7 ooo 1 7 o-o 2 4 -oo 2 8 -o- 2 5 oo- 2 6 o-- 2 7 o-o 2 9 --o 3 4 ooo 3 5 ooo 3 6 ooo 3 9 ooo 3 8 ooo 3 7 ooo
3.0,Zn Zn Zn Zn Si Si Si Si O O O O O O O O O O O O 0 14 o-o 0 16 +oo 0 15 ooo 0 13 ooo 1 11 o+o 1 12 -oo 1 17 oo- 1 10 ooo 2 19 ooo 2 13 oo- 2 12 ooo 2 15 -o+ 3 18 o+o 3 14 -oo 3 15 o+o 3 16 -oo 4 12 oo- 4 14 ooo 4 8 ooo 4 10 ooo 5 17 ooo 5 13 ooo 5 11 ooo 5 9 ooo 6 16 ooo 6 18 ooo 6 12 ooo 6 9 oo+ 7 19 ooo 7 13 ooo 7 8 oo- 7 10 ooo
3.0,Cl Sb Sr Cl Cl Ba O Ba Ba Cl N N Ba Br Br O 2 4 ooo 2 12 ooo 2 14 -oo 2 14 o-o 2 3 -oo 2 3 o-o 2 11 --o 5 10 ooo 5 10 o-o 5 0 ooo 5 0 -oo 5 13 oo+ 5 15 -o+ 5 15 oo+ 8 13 ooo 8 13 o+o 8 6 +oo 8 6 ooo 8 3 ooo 8 4 +oo 8 4 o+o 8 4 ooo 8 10 +oo 8 10 ooo 9 13 oo- 9 6 ooo 9 6 +oo 9 6 ooo 9 10 ooo 9 10 +oo 9 12 o+o 9 12 o+o 9 12 ++o 9 12 o+o 9 3 ooo 9 3 ooo 7 0 ooo 7 4 o-o 7 4 ooo 7 10 -oo 7 10 ooo 7 3 o-o 7 3 -oo 7 3 ooo 11 6 ooo 11 6 ooo 11 13 ooo 11 13 o-o 11 12 -oo 11 12 --o 11 12 ooo 11 15 o-o 1 3 oo- 1 0 oo- 1 6 ooo 1 10 ooo
4.0,K Na Na Bi F F F F F F 0 7 o-o 0 7 -oo 0 4 ooo 0 4 -oo 0 6 o-o 0 6 oo- 0 5 o-o 0 5 oo- 0 9 ooo 0 9 -oo 0 8 ooo 0 8 oo- 1 8 ooo 1 8 +oo 1 4 o+o 1 4 oo+ 1 9 +oo 1 9 o+o 1 5 oo+ 1 5 ooo 1 6 ooo 1 6 oo+ 1 7 +oo 1 7 o+o 2 7 ooo 2 8 ooo 2 5 ooo 2 9 ooo 2 6 ooo 2 4 ooo 3 6 -o- 3 4 o-o 3 9 -oo 3 5 o-- 3 8 oo- 3 7 --o
4.0,Ba Nd F F F F F 0 5 ooo 0 6 +oo 0 6 oo- 0 4 o+o 0 4 oo- 0 2 --- 0 2 oo+ 0 2 -oo 0 2 o-o 0 3 +oo 0 3 oo- 0 4 o+o 0 4 oo- 1 4 ooo 1 5 -o- 1 5 ooo 1 3 ooo 1 3 o-- 1 2 ooo 1 2 --o
4.0,Li Li Li Li O O O O F F Mn F O 0 9 ooo 0 6 o+o 0 6 oo- 0 5 +o- 0 11 oo- 0 7 ooo 0 8 o+- 1 7 -oo 1 9 ooo 1 6 -oo 1 4 o-o 1 11 ooo 1 8 ooo 2 5 ooo 2 9 +oo 2 8 o+o 2 7 ooo 2 7 o+o 2 4 ++o 3 4 ooo 3 6 ooo 3 5 ooo 3 12 ooo 3 11 ooo 3 10 ooo 10 8 oo- 10 12 ooo 10 7 --o 10 9 ooo 10 11 o--
