eform,SLICES
-1.0,Bi Bi Bi Bi S S S S Br Br 0 9 o+o 0 8 -oo 0 4 -o- 0 4 o+o 0 7 ooo 0 6 o++ 1 5 ooo 1 5 oo+ 1 7 o++ 1 6 ooo 1 8 o++ 1 9 o++ 2 4 -o- 2 8 -oo 2 9 oo- 2 5 ooo 2 6 ooo 2 7 oo- 3 4 oo- 3 4 ooo 3 8 ooo 3 5 ooo 3 9 ooo 3 6 oo-
-1.0,Ca Ca Ca Ca Ca Ca In In N N N N N N 0 8 ooo 0 11 ooo 0 12 +oo 0 9 +oo 0 10 ooo 1 13 ooo 1 9 +oo 1 10 +oo 1 12 ooo 2 12 ooo 2 11 o+o 2 13 o+o 2 8 oo- 2 11 oo- 3 13 oo+ 3 8 o-o 3 9 ooo 3 11 -oo 4 10 -oo 4 8 ooo 4 12 oo+ 4 9 oo+ 4 13 ooo 5 8 ooo 5 12 ooo 5 9 o+o 5 13 oo+ 5 11 ooo 6 10 +oo 6 9 ++o 6 10 ooo 6 8 +oo 7 8 o+o 7 12 ooo 7 13 ooo 7 9 ooo
-1.0,Rb Rb Y Y Ag Ag Ag Ag Te Te Te Te Te Te Te Te 0 10 +o- 0 10 o+o 0 8 o+- 0 8 +o- 0 14 +oo 0 13 ooo 0 12 ooo 0 15 o+o 1 11 -o+ 1 11 o-o 1 15 -o+ 1 9 o-o 1 9 -oo 1 12 ooo 1 14 o-o 1 13 ooo 2 12 ooo 2 14 ooo 2 10 -+o 2 11 oo- 2 9 ooo 2 15 oo- 2 13 ooo 2 8 oo- 3 13 +-o 3 11 -o+ 3 8 o-o 3 15 -oo 3 12 ooo 3 14 o-o 3 10 -oo 3 9 -oo 4 12 o-- 4 15 -oo 4 8 o-- 4 14 -oo 5 10 -oo 5 13 ooo 5 9 o-o 5 11 -oo 6 12 ooo 6 15 ooo 6 8 ooo 6 12 ooo 7 9 ooo 7 10 ooo 7 11 ooo 7 13 ooo
-1.0,Mg Mg Cr Cr Cr Cr Se Se Se Se Se Se S S 0 13 +oo 0 10 o+o 0 11 oo+ 0 6 ooo 1 7 o-o 1 8 -oo 1 9 oo- 1 12 ooo 2 12 ooo 2 11 oo- 2 10 ooo 2 9 oo- 2 8 ooo 2 7 ooo 3 10 ooo 3 13 oo- 3 11 ooo 3 6 oo- 3 9 oo- 3 8 ooo 4 7 o-o 4 9 ooo 4 11 o-o 4 10 ooo 4 6 o-o 4 12 ooo 5 8 ooo 5 7 -oo 5 6 -oo 5 13 ooo 5 13 ooo 5 12 ooo
-1.0,Li Li Ni Ni Ni Ni Ni Ni O O O O O O O O O O O O 0 15 oo- 0 18 o-o 0 17 ooo 0 10 o-o 0 12 o-o 0 10 ooo 0 8 ooo 0 13 o-o 1 11 ooo 1 9 ooo 1 16 ooo 1 19 ooo 1 12 ooo 1 18 ooo 1 13 +oo 1 14 +oo 2 11 o+o 2 10 ooo 2 12 ooo 2 13 ooo 2 9 o+o 2 8 ooo 2 14 +oo 2 19 ooo 3 14 oo+ 3 12 +o+ 3 15 +oo 3 16 ooo 3 13 o+o 3 11 +oo 3 16 ooo 3 15 ooo 4 12 ooo 4 19 -oo 4 8 ooo 4 14 ooo 4 11 ooo 4 17 o-o 5 16 +oo 5 9 oo- 5 10 +oo 5 13 +o- 5 17 oo- 5 15 o-o 6 17 +oo 6 15 ooo 6 9 +-o 6 14 +-o 6 14 ooo 6 19 +oo 7 18 +oo 7 8 ooo 7 16 ooo 7 13 ooo 7 12 ooo 7 11 +oo
-1.0,Li Co S S 0 3 o+o 0 3 ooo 0 3 +oo 0 2 ++o 0 2 +o+ 0 2 o++ 1 3 -o- 1 3 o-- 1 3 --o 1 2 o-o 1 2 -oo 1 2 oo-
-1.0,Li Li Bi Bi S S S S 0 5 ooo 0 5 o++ 0 7 -oo 0 7 o+o 0 4 -o- 0 4 oo- 1 4 --o 1 6 ooo 1 6 --- 1 6 ooo 1 5 o-- 1 7 -oo 2 5 --o 2 5 ooo 2 7 --- 2 7 o-o 2 7 --o 2 4 -oo 3 4 -o- 3 4 --o 3 6 ooo 3 6 --o 3 6 ooo 3 5 --o
-1.0,Rb Rb Li N N N N N O O O O O O 0 9 +oo 0 9 ooo 0 10 o-o 0 11 +oo 0 11 o-o 0 8 ooo 0 8 oo- 0 13 ooo 0 12 oo- 1 8 o+o 1 9 -oo 1 11 ooo 1 11 -oo 1 8 o+o 1 10 oo+ 1 10 ooo 1 13 oo+ 1 12 ooo 2 13 --o 2 12 ooo 2 8 oo- 2 9 --- 2 13 o-- 3 12 -oo 3 12 oo- 3 13 --o 4 13 ooo 4 8 ooo 5 12 ooo 5 10 ooo 5 11 ooo 6 11 ooo 6 8 ooo 7 10 ooo
-1.0,In Cu Se Se 0 3 ooo 0 3 --o 0 3 -oo 0 2 --+ 0 2 oo+ 0 2 --+ 1 2 ooo 1 2 +oo 1 2 o-o 1 3 ooo
-1.0,Cs Cs Na Ga I I I I I I 0 9 oo+ 0 9 ooo 0 4 oo+ 0 4 o+o 0 5 +oo 0 5 o+o 0 7 +oo 0 7 oo+ 0 8 o+o 0 8 ooo 0 6 +oo 0 6 ooo 1 9 o-o 1 9 -oo 1 5 ooo 1 5 oo- 1 8 oo- 1 8 -oo 1 6 o-o 1 6 oo- 1 7 o-o 1 7 ooo 1 4 -oo 1 4 ooo 2 5 ooo 2 6 ooo 2 7 ooo 2 4 ooo 2 8 ooo 2 9 ooo 3 6 o-- 3 5 oo- 3 8 -o- 3 7 o-o 3 9 --o 3 4 -oo
